Abbreviation,Row,Column,State
AK,8,0.50,Alaska
AL,2,7.50,Alabama
AR,3,6.00,Arkansas
AZ,3,3.00,Arizona
CA,3,2.00,California
CO,4,3.50,Colorado
CT,5,11.00,Connecticut
DC,4,10.50,District of Columbia
DE,4,9.50,Delaware
FL,0,8.50,Florida
GA,1,8.00,Georgia
HI,0,0.50,Hawaii
IA,5,5.00,Iowa
ID,5,2.00,Idaho
IL,5,6.00,Illinois
IN,5,7.00,Indiana
KS,3,5.00,Kansas
KY,4,6.50,Kentucky
LA,2,5.50,Louisiana
MA,6,10.50,Massachusetts
MD,4,8.50,Maryland
ME,8,11.50,Maine
MI,6,7.50,Michigan
MN,6,4.50,Minnesota
MO,4,5.50,Missouri
MS,2,6.50,Mississippi
MT,6,2.50,Montana
NC,3,9.00,North Carolina 
ND,6,3.50,North Dakota 
NE,4,4.50,Nebraska 
NH,7,11.00,New Hampshire 
NJ,5,10.00,New Jersey 
NM,2,3.50,New Mexico 
NV,4,2.50,Nevada 
NY,6,9.50,New York 
OH,5,8.00,Ohio 
OK,2,4.50,Oklahoma 
OR,4,1.50,Oregon 
PA,5,9.00,Pennsylvania
RI,6,11.50,Rhode Island 
SC,2,8.50,South Carolina 
SD,5,4.00,South Dakota 
TN,3,7.00,Tennessee 
TX,1,4.00,Texas 
UT,3,4.00,Utah 
VA,3,8.00,Virginia 
VT,7,10.00,Vermont 
WA,6,1.50,Washington 
WI,6,5.50,Wisconsin 
WV,4,7.50,West Virginia 
WY,5,3.00,Wyoming
